Part,Configuration,Byzantine,n_runs,Accuracy,F1_Score,ROC_AUC,PR_AUC,Acc_Mean,Acc_Std,F1_Mean,F1_Std,ROC_Mean,ROC_Std,PR_AUC_Mean,PR_AUC_Std
Part0_Centralized,Centralized_UpperBound,0,5,"97.69 ± 0.24 [97.39, 97.99]","97.67 ± 0.25 [97.37, 97.98]","0.999 ± 0.000 [0.999, 0.999]","0.998 ± 0.000 [0.998, 0.998]",97.68840192410475,0.2430973463209542,97.67373850629126,0.24771513587824734,0.9990516460409381,0.00014380336457433987,0.9981194596093526,0.00029772965637737974
Part1_HFL,HFL_ZT+Mean_f0,0,5,"72.73 ± 2.65 [69.44, 76.01]","65.76 ± 4.79 [59.81, 71.70]","0.991 ± 0.004 [0.985, 0.996]","0.980 ± 0.012 [0.965, 0.995]",72.72581507215394,2.648331913957762,65.75682492470939,4.786040582124805,0.9907861006320878,0.00437766251340748,0.9797640110582144,0.011981365350877378
Part1_HFL,HFL_ZT+Krum_f0,0,5,"72.74 ± 2.65 [69.45, 76.04]","65.79 ± 4.79 [59.84, 71.74]","0.991 ± 0.004 [0.985, 0.996]","0.980 ± 0.012 [0.965, 0.995]",72.74452164617853,2.654341931605185,65.78929869777019,4.793623957630158,0.9907889753225805,0.004386027811875105,0.9797760627803178,0.011995790612939962
Part1_HFL,HFL_ZT+rKrum_f0,0,5,"72.74 ± 2.65 [69.45, 76.04]","65.79 ± 4.79 [59.84, 71.74]","0.991 ± 0.004 [0.985, 0.996]","0.980 ± 0.012 [0.965, 0.995]",72.74452164617853,2.654341931605185,65.78929869777019,4.793623957630158,0.9907879658950118,0.004386783782777609,0.9797738211565307,0.011997218903561428
Part1_HFL,HFL_ZT+ArKrum_f0,0,5,"72.74 ± 2.65 [69.45, 76.04]","65.79 ± 4.79 [59.84, 71.74]","0.991 ± 0.004 [0.985, 0.996]","0.980 ± 0.012 [0.965, 0.995]",72.74452164617853,2.654341931605185,65.78929869777019,4.793623957630158,0.9907879658950118,0.004386783782777609,0.9797738211565307,0.011997218903561428
Part1_HFL,HFL_ZT+Mean_f2,2,5,"24.42 ± 13.20 [8.03, 40.81]","12.98 ± 5.63 [5.99, 19.97]","0.146 ± 0.024 [0.116, 0.176]","0.212 ± 0.008 [0.202, 0.222]",24.42009620523784,13.202360689425392,12.983708190566597,5.629709129907601,0.1456123112554473,0.024177202424573805,0.2120138412175195,0.007881375165901322
Part1_HFL,HFL_ZT+Krum_f2,2,10,"72.46 ± 2.66 [70.56, 74.36]","65.29 ± 4.83 [61.84, 68.75]","0.990 ± 0.004 [0.987, 0.993]","0.977 ± 0.013 [0.968, 0.986]",72.45857830037413,2.658993196249867,65.2919867136758,4.830110987842268,0.9899169662545345,0.004453768902448557,0.9773976398028204,0.012698166344607121
Part1_HFL,HFL_ZT+rKrum_f2,2,5,"71.90 ± 3.15 [68.00, 75.81]","64.26 ± 5.78 [57.08, 71.43]","0.987 ± 0.006 [0.980, 0.994]","0.970 ± 0.016 [0.950, 0.991]",71.90272581507216,3.146952697337086,64.25552085908082,5.775633233088053,0.9869898020858058,0.005777121879266884,0.9704140236194384,0.01626668505467481
Part1_HFL,HFL_ZT+ArKrum_f2,2,5,"71.90 ± 3.15 [68.00, 75.81]","64.26 ± 5.78 [57.08, 71.43]","0.987 ± 0.006 [0.980, 0.994]","0.970 ± 0.016 [0.950, 0.991]",71.90272581507216,3.146952697337086,64.25552085908082,5.775633233088053,0.9869898020858058,0.005777121879266884,0.9704140236194384,0.01626668505467481
Part1_HFL,HFL_ZT+Mean_f3,3,5,"8.39 ± 13.79 [-8.73, 25.51]","6.02 ± 6.23 [-1.72, 13.75]","0.194 ± 0.045 [0.138, 0.250]","0.241 ± 0.027 [0.208, 0.274]",8.39123463388562,13.789391528777182,6.015352412401768,6.2317704365255855,0.19405780836485226,0.04522422461222911,0.24127872302924902,0.02655650791000577
Part1_HFL,HFL_ZT+Krum_f3,3,5,"70.62 ± 4.83 [64.62, 76.62]","62.04 ± 8.41 [51.59, 72.48]","0.973 ± 0.011 [0.960, 0.987]","0.939 ± 0.027 [0.906, 0.972]",70.61998931052914,4.82900063197365,62.036341576602055,8.409166880075512,0.9731774239602018,0.01092067543811184,0.938787125108146,0.026753462463677127
Part1_HFL,HFL_ZT+rKrum_f3,3,5,"65.86 ± 7.10 [57.05, 74.68]","58.06 ± 11.05 [44.34, 71.78]","0.927 ± 0.021 [0.900, 0.953]","0.850 ± 0.035 [0.806, 0.894]",65.86317477284874,7.09703211004797,58.05966059413729,11.053195398269567,0.9266474016925027,0.02127393163664484,0.850144853443458,0.03542533274952587
Part1_HFL,HFL_ZT+ArKrum_f3,3,5,"65.86 ± 7.10 [57.05, 74.68]","58.06 ± 11.05 [44.34, 71.78]","0.927 ± 0.021 [0.900, 0.953]","0.850 ± 0.035 [0.806, 0.894]",65.86317477284874,7.09703211004797,58.05966059413729,11.053195398269567,0.9266474016925027,0.02127393163664484,0.850144853443458,0.03542533274952587
Part2_VFL_Feat,VFL_ZT-Filter_f0,0,5,"97.52 ± 0.36 [97.08, 97.96]","97.50 ± 0.36 [97.05, 97.95]","0.999 ± 0.000 [0.999, 0.999]","0.998 ± 0.000 [0.997, 0.998]",97.52004275788349,0.3558616606607148,97.50352913058926,0.36296235986147635,0.9989490623397985,0.0002247561645119564,0.9979254604163701,0.0004341041674532047
Part2_VFL_Feat,VFL_ZT-Filter_f2,2,10,"97.52 ± 0.34 [97.28, 97.76]","97.50 ± 0.34 [97.26, 97.75]","0.999 ± 0.000 [0.999, 0.999]","0.998 ± 0.000 [0.998, 0.998]",97.52004275788349,0.33550959122332996,97.50352913058924,0.3422041946313625,0.9989490623397985,0.0002119021440531782,0.9979254604163701,0.0004092773340633355
Part2_VFL_Feat,VFL_ZT-Filter_f3,3,5,"97.52 ± 0.36 [97.08, 97.96]","97.50 ± 0.36 [97.05, 97.95]","0.999 ± 0.000 [0.999, 0.999]","0.998 ± 0.000 [0.997, 0.998]",97.52004275788349,0.3558616606607148,97.50352913058926,0.36296235986147635,0.9989490623397985,0.0002247561645119564,0.9979254604163701,0.0004341041674532047
Part3_VFL_MultiCloud,VFL_MultiCloud_Clean_f0,0,5,"96.50 ± 0.43 [95.96, 97.04]","96.49 ± 0.44 [95.95, 97.03]","0.998 ± 0.000 [0.997, 0.998]","0.996 ± 0.001 [0.995, 0.997]",96.50187065740245,0.43455772369940887,96.4867433954978,0.4353173842464184,0.9979430525611489,0.0004379966410214835,0.9959756617909621,0.0008197165627847208
Part3_VFL_MultiCloud,VFL_MultiCloud_Attack_f1,1,5,"93.79 ± 0.90 [92.67, 94.91]","93.75 ± 0.88 [92.66, 94.85]","0.994 ± 0.002 [0.992, 0.996]","0.988 ± 0.003 [0.984, 0.992]",93.78941742383752,0.901919155914132,93.75397543513496,0.8840090757388038,0.9938205897216165,0.0017213260945233137,0.9880556935870064,0.0031519805386154504
Part3_VFL_MultiCloud,VFL_MultiCloud_Attack_f2,2,5,"92.68 ± 1.24 [91.14, 94.22]","92.66 ± 1.24 [91.12, 94.20]","0.991 ± 0.003 [0.987, 0.994]","0.982 ± 0.005 [0.976, 0.989]",92.67771245323357,1.2400981231233827,92.66174743559273,1.2424167025356772,0.9908256653648781,0.002740536914972768,0.9822744040815168,0.0051950911171653145
Part3_VFL_MultiCloud,VFL_MultiCloud_Attack_f3,3,5,"67.67 ± 3.82 [62.92, 72.41]","67.16 ± 4.27 [61.86, 72.46]","0.884 ± 0.012 [0.869, 0.898]","0.797 ± 0.026 [0.765, 0.829]",67.66702298236237,3.822413110300391,67.15866891097666,4.268967258264396,0.883634778504873,0.011728199437473401,0.7971128557399267,0.025593748213251586
